Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version
2020-02-12,348.030862,345.030862,345.030862,345.030862,345.030862,381.030862,381.030862,392.530862,392.530862,392.530862,400.030862,400.030862,392.530862,392.530862,392.530862,392.530862,392.530862,392.530862,392.530862,392.530862,392.530862,392.530862,380.170862,380.030862,TX2
2020-02-13,365.119844,365.119844,365.119844,365.119844,365.119844,390.119844,390.119844,390.119844,390.119844,395.119844,395.119844,415.119844,415.119844,415.119844,415.119844,415.119844,415.119844,415.119844,415.119844,415.119844,415.119844,415.119844,395.119844,378.269844,TX2
2020-02-14,430,404,404,404,404,430,430,404,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,430,TX2
2020-02-15,470.757937,460.757937,460.757937,455.757937,455.757937,460.757937,460.757937,460.757937,470.757937,471.757937,480.757937,480.757937,480.757937,480.757937,480.757937,480.757937,471.757937,470.757937,480.757937,480.757937,480.757937,471.757937,470.757937,470.757937,TX2
2020-02-16,458.417247,458.417247,458.417247,458.417247,458.417247,458.417247,458.417247,458.417247,458.417247,458.417247,458.417247,471.334247,471.334247,471.334247,471.334247,550.417247,458.417247,458.417247,471.334247,510.417247,510.417247,510.417247,471.334247,458.417247,TX2
2020-02-17,490,440,440,440,440,490,490,497,497,497,497,497,497,497,520,520,520,520,550,557,557,557,497,497,TX2
2020-02-18,489,489,445,445,489,489,489,489,489,489,490,490,490,490,490,490,490,490,515,600,600,490,490,489,TX2
2020-02-19,435,435,435,435,435,450,450,450,490,600,600,600,600,600,600,600,600,600,600,600,600,600,600,450,TX2
2020-02-20,495.03515,495.03515,490.03515,490.03515,495.03515,497.03515,497.03515,497.03515,610.03515,630.03515,603.03515,603.03515,603.03515,603.03515,603.03515,605.03515,603.03515,603.03515,603.03515,605.03515,603.03515,603.03515,603.03515,495.03515,TX2
2020-02-21,580,580,533,533,540,580,580,580,605,610,635,638,630,638,635,635,630,605,630,635,630,605,580,580,TX2
2020-02-22,602.006333,540.006333,465.006333,388.906333,465.006333,465.006333,527.006333,611.006333,611.006333,630.006333,611.006333,611.006333,611.006333,611.006333,611.006333,611.006333,611.006333,602.006333,611.006333,611.006333,611.006333,611.006333,602.006333,527.006333,TX2
2020-02-23,380.760694,380.760694,331.160694,320.160694,320.160694,320.160694,320.160694,320.160694,357.600694,380.760694,403.630694,596.160694,596.160694,596.160694,596.160694,596.160694,596.160694,401.159694,596.160694,596.160694,596.160694,596.160694,643.161694,380.760694,TX2
2020-02-24,357.009264,330.569264,330.569264,319.569264,355.779264,493.569264,493.569264,498.569264,498.569264,498.569264,498.569264,498.569264,498.569264,498.569264,600.569264,605.569264,550.569264,550.569264,550.569264,580.569264,550.569264,550.569264,498.569264,493.569264,TX1
2020-02-25,357.923361,316.483361,316.483361,316.483361,331.483361,378.633361,378.633361,398.483361,494.483361,479.483361,496.483361,496.483361,479.483361,496.483361,497.483361,551.482361,479.483361,479.483361,494.483361,496.483361,494.483361,479.483361,479.483361,398.483361,TX1
2020-02-26,318.186648,318.186648,293.186648,264.080648,293.186648,318.186648,319.186648,319.186648,393.185648,393.185648,393.185648,473.186648,473.186648,473.186648,473.186648,501.186648,393.185648,380.306648,473.186648,478.186648,478.186648,393.185648,393.185648,319.186648,TX1
